Mood,Time
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:44
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:45
Distracted,19:36:46
Distracted,19:36:46
Neutral,19:36:46
Distracted,19:36:46
Neutral,19:36:46
Neutral,19:36:46
Distracted,19:36:46
Distracted,19:36:46
Distracted,19:36:47
Distracted,19:36:47
Distracted,19:36:47
Distracted,19:36:47
Neutral,19:36:47
Neutral,19:36:47
Distracted,19:36:47
Neutral,19:36:47
Neutral,19:36:47
Distracted,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Neutral,19:36:48
Neutral,19:36:48
Neutral,19:36:48
Distracted,19:36:48
Distracted,19:36:48
Neutral,19:36:49
Distracted,19:36:49
Distracted,19:36:49
Neutral,19:36:49
Neutral,19:36:49
Neutral,19:36:49
Distracted,19:36:49
Distracted,19:36:49
Neutral,19:36:49
Neutral,19:36:50
Distracted,19:36:50
Neutral,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Neutral,19:36:50
Distracted,19:36:50
Distracted,19:36:50
Distracted,19:36:51
Distracted,19:36:51
Neutral,19:36:51
Neutral,19:36:52
Neutral,19:36:53
Distracted,19:36:53
Distracted,19:36:53
Distracted,19:36:53
Neutral,19:36:53
Distracted,19:36:53
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:54
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:55
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:56
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:57
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:58
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Distracted,19:36:59
Neutral,19:36:59
Distracted,19:37:00
Distracted,19:37:00
Distracted,19:37:00
Neutral,19:37:00
